2025-07-03 00:27:49,679 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:27:49,679 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
2025-07-03 00:29:22,992 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:29:22,992 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
2025-07-03 00:30:37,192 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:30:37,192 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
2025-07-03 00:31:29,335 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:31:29,335 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
2025-07-03 00:34:43,817 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:34:43,817 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
2025-07-03 00:37:38,292 | INFO     | BatchPipeline        | Discovered 3 ligand(s) to process
2025-07-03 00:37:38,292 | INFO     | BatchPipeline        | Discovered 1 ligand(s) to process
